"Name","Num","Mmb","Hv","<Hv>","h:m:s","d:m:s","radD","radR"
"1","Scl","0001",0.998,112.6,1.2,"01 : 00 : 46.17","-33 : 39 : 19.6",-0.747553607450038,0.265156964947673
"2","Scl","0002",1,110.2,0.9,"01 : 00 : 45.44","-33 : 39 : 59.9",-0.750484306152345,0.265103877849592
"3","Scl","0003",1,116.4,1.9,"01 : 00 : 44.46","-33 : 41 : 54.1",-0.758789164509751,0.265032610238469
"4","Scl","0004",1,103.8,0.7,"01 : 00 : 46.96","-33 : 43 : 19.9",-0.765028716585631,0.265214415368885
"5","Scl","0005",1,117.7,0.9,"01 : 00 : 42.44","-33 : 43 : 26.0",-0.765472321103846,0.264885711693093
"6","Scl","0006",0.999,93.4,2.2,"01 : 00 : 44.88","-33 : 43 : 57.7",-0.767777610157522,0.265063153500379
"7","Scl","0007",0.991,118,0,"01 : 00 : 42.07","-33 : 44 : 02.7",-0.768141220418354,0.264858804533791
"8","Scl","0008",0.984,103.6,1.4,"01 : 00 : 51.01","-33 : 38 : 20.5",-0.743255734167002,0.265508939680159
"9","Scl","0009",0.999,95.7,0.8,"01 : 00 : 50.99","-33 : 40 : 02.4",-0.750666111282761,0.265507485239116
"10","Scl","0010",1,101.6,1.6,"01 : 00 : 49.48","-33 : 40 : 37.8",-0.753240471929453,0.265397674940344
"11","Scl","0011",1,114.9,1.1,"01 : 00 : 51.15","-33 : 47 : 17.3",-0.782292931769942,0.265519120767462
"12","Scl","0012",1,111.3,0.4,"01 : 00 : 51.95","-33 : 46 : 24.0",-0.778416846389471,0.265577298409195
"13","Scl","0013",1,118.8,1.3,"01 : 00 : 58.45","-33 : 46 : 13.9",-0.77768235366259,0.266049991748277
"14","Scl","0014",1,104,0,"01 : 00 : 59.87","-33 : 45 : 22.2",-0.773922623565586,0.266153257062354
"15","Scl","0015",1,105,0,"01 : 01 : 02.97","-33 : 45 : 13.6",-0.773297213916954,0.26637869542407
"16","Scl","0016",1,122,0,"01 : 01 : 05.90","-33 : 44 : 15.0",-0.769035701660001,0.266591771036917
"17","Scl","0017",1,109.5,1.1,"01 : 01 : 09.27","-33 : 43 : 36.5",-0.766235902651594,0.266836844352718
"18","Scl","0018",1,112.2,1.9,"01 : 00 : 44.85","-33 : 45 : 32.1",-0.774642571882033,0.265060971838814
"19","Scl","0019",1,124,1,"01 : 00 : 46.10","-33 : 44 : 42.9",-0.771064646915445,0.265151874404022
"20","Scl","0020",1,119,0,"01 : 00 : 59.92","-33 : 44 : 54.1",-0.771879133899709,0.266156893164962
"21","Scl","0021",1,115,0,"01 : 00 : 49.80","-33 : 44 : 18.0",-0.769253867816501,0.265420945997038
"22","Scl","0022",1,133.5,0.8,"01 : 00 : 55.11","-33 : 44 : 15.2",-0.769050246070435,0.265807100094041
"23","Scl","0023",1,111.2,3.5,"01 : 00 : 56.11","-33 : 44 : 00.7",-0.767995776314021,0.265879822146208
"24","Scl","0024",1,125,0,"01 : 01 : 04.89","-33 : 43 : 40.0",-0.766490429834176,0.266518321764229
"25","Scl","0025",1,100.3,1.6,"01 : 00 : 56.58","-33 : 40 : 36.7",-0.75316047767207,0.265914001510726
"26","Scl","0026",1,106.2,1.2,"01 : 00 : 55.27","-33 : 40 : 42.7",-0.753596809985068,0.265818735622388
"27","Scl","0027",1,117,0,"01 : 00 : 52.92","-33 : 40 : 44.3",-0.753713165268535,0.265647838799797
"28","Scl","0028",1,104.5,1.3,"01 : 00 : 55.58","-33 : 41 : 02.3",-0.75502216220753,0.26584127945856
"29","Scl","0029",1,114.2,1.2,"01 : 00 : 56.26","-33 : 41 : 31.9",-0.757174734951657,0.265890730454033
"30","Scl","0030",1,113.5,1.9,"01 : 01 : 03.54","-33 : 38 : 48.5",-0.745291951627662,0.266420146993804
"31","Scl","0031",1,110,0,"01 : 01 : 02.64","-33 : 39 : 00.4",-0.746157344048442,0.266354697146855
"32","Scl","0032",0.999,91.6,0.7,"01 : 01 : 00.44","-33 : 39 : 54.0",-0.750055246044563,0.266194708632088
"33","Scl","0033",1,109.1,1.3,"01 : 01 : 05.52","-33 : 41 : 58.3",-0.75909459712885,0.266564136657094
"34","Scl","0034",1,103,0,"01 : 01 : 04.11","-33 : 42 : 07.1",-0.759734551187915,0.266461598563539
"35","Scl","0035",1,121,0,"01 : 01 : 01.55","-33 : 42 : 07.1",-0.759734551187915,0.266275430109993
"36","Scl","0036",1,106,0,"01 : 01 : 01.64","-33 : 43 : 25.5",-0.765435960077763,0.266281975094688
"37","Scl","0037",1,127,0.7,"01 : 01 : 01.43","-33 : 49 : 20.5",-0.791252288596846,0.266266703463733
"38","Scl","0038",1,111.2,1.7,"01 : 01 : 04.45","-33 : 48 : 48.7",-0.788939727337953,0.266486324061276
"39","Scl","0039",0.998,109,0,"01 : 01 : 03.55","-33 : 48 : 18.0",-0.786707160336444,0.266420874214326
"40","Scl","0040",1,113.4,3.1,"01 : 01 : 03.26","-33 : 47 : 59.2",-0.785339985755715,0.266399784819198
"41","Scl","0041",1,106.4,1,"01 : 01 : 04.16","-33 : 46 : 55.9",-0.78073667985358,0.266465234666148
"42","Scl","0042",1,103.2,0.7,"01 : 01 : 14.17","-33 : 43 : 59.1",-0.767879421030555,0.267193182408334
"43","Scl","0043",1,112.4,1.1,"01 : 01 : 02.58","-33 : 46 : 26.0",-0.778562290493804,0.266350333823725
"44","Scl","0044",1,103,0,"01 : 01 : 05.58","-33 : 45 : 13.1",-0.773260852890871,0.266568499980224
"45","Scl","0045",1,108.9,1,"01 : 01 : 07.41","-33 : 44 : 56.5",-0.772053666824908,0.266701581335688
"46","Scl","0046",1,124.2,0.7,"01 : 01 : 11.54","-33 : 44 : 10.0",-0.768672091399169,0.267001923411136
"47","Scl","0047",1,110.7,0.6,"01 : 01 : 13.19","-33 : 43 : 20.6",-0.765079622022148,0.26712191479721
"48","Scl","0048",1,105.7,1.2,"01 : 01 : 07.70","-33 : 36 : 29.3",-0.735169041966095,0.266722670730817
"49","Scl","0049",1,105.7,3,"01 : 01 : 07.38","-33 : 37 : 57.5",-0.741583126967174,0.266699399674123
"50","Scl","0050",1,123,0,"01 : 01 : 13.19","-33 : 38 : 34.5",-0.744273842897332,0.26712191479721
"51","Scl","0051",0.007,82.6,2.6,"01 : 01 : 10.61","-33 : 39 : 32.0",-0.748455360896902,0.266934291902621
"52","Scl","0052",1,109,0,"01 : 01 : 15.18","-33 : 39 : 35.9",-0.748738976900351,0.267266631681022
"53","Scl","0053",0.998,136,0,"01 : 01 : 16.50","-33 : 41 : 09.6",-0.755553033188345,0.267362624789881
"54","Scl","0054",1,109,0,"01 : 01 : 20.09","-33 : 41 : 45.4",-0.758156482655904,0.267623696957159
"55","Scl","0055",1,110,0,"01 : 01 : 17.00","-33 : 41 : 57.8",-0.759058236102767,0.267398985815965
"56","Scl","0056",1,111,0,"01 : 01 : 15.85","-33 : 37 : 07.9",-0.737976113179719,0.267315355455973
"57","Scl","0057",1,107,0,"01 : 01 : 17.52","-33 : 37 : 41.6",-0.740426846337728,0.267436801283091
"58","Scl","0058",1,115,0,"01 : 01 : 17.26","-33 : 39 : 16.5",-0.747328169088322,0.267417893549528
"59","Scl","0059",1,107,0,"01 : 01 : 21.56","-33 : 40 : 17.9",-0.751793303091341,0.267730598373843
"60","Scl","0060",1,120,0,"01 : 01 : 23.15","-33 : 41 : 04.8",-0.755203967337946,0.267846226436788
"61","Scl","0061",0.98,84,0,"01 : 01 : 26.20","-33 : 41 : 20.2",-0.756323886941309,0.268068028695896
